Catégorie;Numéro;Nom;Race;Sexe;Description;Background;Prompt
Rue/Place Publique;6;Darian "Le Crieur";Humain;Homme;Un crieur public avec une voix puissante, portant des vêtements simples.;Annonce les nouvelles et les proclamations dans les rues. Cherche à utiliser sa position pour révéler les injustices de la ville.;D&D character design, a human town crier with a powerful voice, wearing simple clothes, announcing news in a crowded street with a sense of purpose.
Rue/Place Publique;7;Eira "La Mendiante";Elfe;Femme;Une mendiante avec un regard triste, portant des vêtements usés.;Demande l'aumône pour survivre dans les rues. Cherche à retrouver sa famille perdue depuis longtemps.;D&D character design, an elven beggar with a sad gaze, wearing worn clothes, asking for alms in a busy street with a glimmer of hope.
Rue/Place Publique;8;Finn "Le Montreur d'Ours";Humain;Homme;Un montreur d'ours avec un ours apprivoisé, portant des vêtements rustiques.;Montre des tours avec son ours pour divertir les passants. Cherche à gagner suffisamment pour offrir une meilleure vie à son ours bien-aimé.;D&D character design, a human bear handler with a tame bear, wearing rustic clothes, performing tricks in a bustling street with affection.
Rue/Place Publique;9;Gwendolyn "La Diseuse de Bonne Aventure";Humaine;Femme;Une diseuse de bonne aventure avec une boule de cristal, portant des vêtements mystiques.;Prédit l'avenir pour les passants curieux. Cherche à découvrir le secret de sa propre destinée.;D&D character design, a human fortune teller with a crystal ball, wearing mystical clothes, predicting futures in a busy street with intrigue.
Rue/Place Publique;10;Hector "Le Saltimbanque";Humain;Homme;Un saltimbanque avec des talents variés, portant des vêtements colorés.;Effectue des acrobaties et des tours pour divertir les passants. Cherche à impressionner une dame noble dont il est secrètement amoureux.;D&D character design, a human street performer with varied talents, wearing colorful clothes, performing acrobatics in a bustling street with hidden affection.
Bibliothèque Ancienne;3;Thalia "La Chroniqueuse";Humaine;Femme;Une chroniqueuse méticuleuse avec des lunettes, portant une robe simple.;Documente les événements historiques de la région. Cherche à préserver les récits oubliés pour les générations futures, en particulier ceux concernant une ancienne guerre oubliée.;D&D character design, a meticulous human chronicler with glasses, wearing a simple robe, surrounded by ancient manuscripts in a dimly lit library.
Bibliothèque Ancienne;4;Eldred "L'Archiviste";Halfelin;Homme;Un archiviste organisé avec un sens aigu du détail, portant des vêtements pratiques.;Classe et organise les manuscrits anciens. Cherche à découvrir des secrets cachés dans les archives royales concernant une ancienne prophétie sur la chute du royaume.;D&D character design, an organized halfling archivist with a keen eye for detail, wearing practical clothes, sorting ancient manuscripts in a dusty archive.
Bibliothèque Ancienne;5;Lysandra "La Traductrice";Elfe;Femme;Une traductrice talentueuse avec une plume à la main, portant des vêtements élégants.;Traduit des textes anciens en langues modernes. Cherche à rendre les connaissances anciennes accessibles à tous, notamment un traité perdu sur la magie des éléments.;D&D character design, a talented elven translator with a quill in hand, wearing elegant clothes, translating ancient texts in a quiet library.
Bibliothèque Ancienne;6;Gareth "Le Rechercheur";Humain;Homme;Un chercheur dévoué avec une pile de livres, portant des vêtements simples.;Étudie les textes anciens pour découvrir des vérités perdues. Cherche à résoudre le mystère de la disparition de son arrière-grand-père, un explorateur légendaire qui aurait découvert une cité perdue.;D&D character design, a devoted human researcher with a stack of books, wearing simple clothes, studying ancient texts in a dimly lit library.
Bibliothèque Ancienne;7;Mirella "La Copiste";Elfe;Femme;Une copiste habile avec une plume et un encrier, portant des vêtements sobres.;Copie des manuscrits anciens pour les préserver. Cherche à transmettre les savoirs anciens aux nouvelles générations, en particulier les enseignements d'un sage oublié.;D&D character design, a skilled elven scribe with a quill and inkwell, wearing sober clothes, copying ancient manuscripts in a quiet scriptorium.
Bibliothèque Ancienne;8;Oswald "Le Bibliothécaire";Humain;Homme;Un bibliothécaire vigilant avec un trousseau de clés, portant des vêtements simples.;Veille sur les ouvrages précieux de la bibliothèque. Cherche à protéger un grimoire ancien contenant des sorts puissants, convoité par des mages malveillants.;D&D character design, a vigilant human librarian with a set of keys, wearing simple clothes, guarding precious tomes in an ancient library.
Bibliothèque Ancienne;9;Cassandra "L'Érudite";Humaine;Femme;Une érudite passionnée avec des lunettes, portant une robe simple.;Étudie les textes anciens pour comprendre les mystères du passé. Cherche à découvrir l'origine d'un artefact mystérieux qui semble réagir à la présence de magie.;D&D character design, a passionate human scholar with glasses, wearing a simple robe, studying ancient texts in a dimly lit library.
Bibliothèque Ancienne;10;Benedict "Le Conservateur";Humain;Homme;Un conservateur dévoué avec des outils de restauration, portant des vêtements de travail.;Restaure les manuscrits anciens endommagés. Cherche à préserver l'héritage culturel de la région, notamment un parchemin déchiré décrivant un rituel ancien.;D&D character design, a devoted human conservator with restoration tools, wearing work clothes, restoring damaged manuscripts in a quiet workshop.
Temple/Église;3;Leonard "Le Prêtre";Humain;Homme;Un prêtre dévoué avec des robes sacrées, portant un symbole divin.;Guide les fidèles dans leur foi. Cherche à apporter la paix et la guérison à ceux qui en ont besoin, en particulier les victimes d'une récente épidémie.;D&D character design, a devoted human priest with sacred robes, wearing a divine symbol, guiding worshippers in a serene temple.
Temple/Église;4;Sister Amelia "La Nonne";Halfeline;Femme;Une nonne dévouée avec un voile, portant des robes simples.;Aide les pauvres et les malades dans la communauté. Cherche à incarner la compassion et la charité, tout en enquêtant sur des disparitions mystérieuses au monastère.;D&D character design, a devoted halfling nun with a veil, wearing simple robes, aiding the poor and sick in a peaceful monastery.
Temple/Église;5;Brother Eamon "Le Moine";Elfe;Homme;Un moine ascétique avec une tête rasée, portant des vêtements simples.;Vit une vie de contemplation et de prière. Cherche à atteindre l'illumination spirituelle pour comprendre la signification des visions prophétiques qui le hantent chaque nuit.;D&D character design, an ascetic elven monk with a shaved head, wearing simple clothes, meditating in a tranquil temple garden.
Temple/Église;6;Darian "Le Confesseur";Humain;Homme;Un confesseur attentif avec une expression bienveillante, portant des robes sacrées.;Écoute les confessions des fidèles. Cherche à guider les âmes perdues vers la rédemption, tout en essayant de résoudre un mystère de meurtre au sein de l'église.;D&D character design, an attentive human confessor with a kind expression, wearing sacred robes, listening to confessions in a quiet chapel.
Temple/Église;7;Eira "La Chanteuse Sacrée";Elfe;Femme;Une chanteuse sacrée avec une voix mélodieuse, portant des robes sacrées.;Chante des hymnes sacrés lors des cérémonies. Cherche à apaiser les âmes troublées par des chants anciens, tout en protégeant un secret lié à un artefact sacré.;D&D character design, a melodious elven sacred singer with sacred robes, singing hymns during ceremonies in a grand cathedral.
Temple/Église;8;Finn "Le Gardien du Temple";Humain;Homme;Un gardien vigilant avec une armure légère, portant un symbole sacré.;Protège le temple et ses trésors sacrés. Cherche à défendre le sanctuaire contre les menaces extérieures, tout en recherchant un ancien texte sacré perdu.;D&D character design, a vigilant human temple guard with light armor, wearing a sacred symbol, guarding the temple and its holy treasures.
Temple/Église;9;Gwendolyn "La Guérisseuse";Humaine;Femme;Une guérisseuse dévouée avec des herbes médicinales, portant des robes simples.;Soigne les malades et les blessés avec des remèdes naturels. Cherche à découvrir un remède ancien pour une maladie rare qui touche les enfants du village.;D&D character design, a devoted human healer with medicinal herbs, wearing simple robes, tending to the sick and injured in a peaceful temple infirmary.
Temple/Église;10;Hector "Le Missionnaire";Humain;Homme;Un missionnaire passionné avec un bâton de marche, portant des vêtements de voyage.;Voyage pour répandre la foi et aider les communautés éloignées. Cherche à établir un nouveau temple dans une région reculée, malgré les dangers du voyage.;D&D character design, a passionate human missionary with a walking staff, wearing travel clothes, spreading faith and aid to remote communities.
Port/Quai;3;Thalia "La Capitaine";Humaine;Femme;Une capitaine expérimentée avec une veste de marin et un tricorne.;Navigue les mers à la recherche de trésors et d'aventures. Cherche à découvrir l'emplacement d'un trésor englouti, selon une carte ancienne.;D&D character design, an experienced human captain with a sailor's coat and tricorne hat, standing on the deck of a ship at sea.
Port/Quai;4;Eldred "Le Marchand";Halfelin;Homme;Un marchand rusé avec un sourire malicieux, portant des vêtements de voyage.;Commerce avec des marchandises exotiques venant de terres lointaines. Cherche à établir une nouvelle route commerciale vers un continent inexploré.;D&D character design, a cunning halfling merchant with a sly smile, wearing travel clothes, negotiating deals on a bustling dock.
Port/Quai;5;Lysandra "La Pêcheuse";Elfe;Femme;Une pêcheuse habile avec un filet de pêche, portant des vêtements pratiques.;Pêche dans les eaux du port pour nourrir sa famille. Cherche à capturer une créature marine légendaire qui, selon la légende, exaucerait un vœu.;D&D character design, a skilled elven fisherwoman with a fishing net, wearing practical clothes, fishing in the harbor waters.
Port/Quai;6;Gareth "Le Contremaître";Humain;Homme;Un contremaître robuste avec un fouet, portant des vêtements de travail.;Supervise le chargement et le déchargement des navires. Cherche à déjouer un complot de contrebande qui menace la sécurité du port.;D&D character design, a robust human foreman with a whip, wearing work clothes, overseeing the loading and unloading of ships at the dock.
Port/Quai;7;Mirella "La Cartographe";Elfe;Femme;Une cartographe méticuleuse avec des outils de dessin, portant des vêtements de voyage.;Crée des cartes précises des mers et des côtes. Cherche à cartographier une île mystérieuse récemment découverte, réputée pour ses richesses cachées.;D&D character design, a meticulous elven cartographer with drawing tools, wearing travel clothes, mapping the seas and coasts in a quiet study.
Port/Quai;8;Oswald "Le Charpentier de Marine";Humain;Homme;Un charpentier de marine avec des outils de menuiserie, portant des vêtements de travail.;Répare et construit des navires. Cherche à construire le navire parfait pour explorer les mers inconnues.;D&D character design, a skilled human shipwright with carpentry tools, wearing work clothes, repairing and building ships in a busy shipyard.
Port/Quai;9;Cassandra "La Matelote";Humaine;Femme;Une matelote avec un tablier, portant des vêtements simples.;Prépare des repas pour les marins. Cherche à cuisiner le repas parfait pour remonter le moral de l'équipage lors d'un long voyage.;D&D character design, a human cook with an apron, wearing simple clothes, preparing meals for sailors in a bustling ship's galley.
Port/Quai;10;Benedict "Le Dockworker";Humain;Homme;Un dockworker robuste avec des gants de travail, portant des vêtements pratiques.;Charge et décharge les marchandises des navires. Cherche à découvrir l'origine d'une cargaison mystérieuse abandonnée sur le quai.;D&D character design, a robust human dockworker with work gloves, wearing practical clothes, loading and unloading cargo from ships on a busy dock.
Château/Palais;3;Leonard "Le Conseiller";Humain;Homme;Un conseiller avisé avec des robes élégantes, portant un insigne royal.;Conseille le roi sur les affaires d'État. Cherche à naviguer les intrigues de la cour pour protéger le royaume d'une menace interne.;D&D character design, a wise human advisor with elegant robes, wearing a royal insignia, advising the king in a grand throne room.
Château/Palais;4;Sister Amelia "La Dame de Compagnie";Halfeline;Femme;Une dame de compagnie avec des robes raffinées, portant un diadème.;Accompagne la reine dans ses devoirs royaux. Cherche à découvrir qui en veut à la vie de la reine après plusieurs tentatives d'assassinat.;D&D character design, a refined halfling lady-in-waiting with elegant robes, wearing a diadem, accompanying the queen in royal duties.
Château/Palais;5;Brother Eamon "Le Chevalier";Elfe;Homme;Un chevalier loyal avec une armure étincelante, portant une épée ornée.;Protège le roi et la famille royale. Cherche à démasquer un traître au sein de la garde royale.;D&D character design, an loyal elven knight with shining armor, wearing an ornate sword, standing guard in the royal court.
